Make,Model,'Vehicle Class','Engine Size(L)',Cylinders,Transmission,'Fuel Type','Fuel Consumption City (L/100 km)','Fuel Consumption Hwy (L/100 km)','Fuel Consumption Comb (L/100 km)','Fuel Consumption Comb (mpg)','CO2 Emissions(g/km)'
MITSUBISHI,LANCER,COMPACT,2.4,4.0,AV6,X,9.8,7.6,8.8,32.0,204
MERCEDES-BENZ,'Maybach S 650',FULL-SIZE,6.0,12.0,A7,Z,18.4,11.1,15.1,19.0,355
BMW,'M4 Cabriolet',SUBCOMPACT,3.0,6.0,M6,Z,13.8,9.4,11.9,24.0,280
PORSCHE,Boxster,TWO-SEATER,2.0,4.0,AM7,Z,10.5,8.0,9.4,30.0,219
NISSAN,Micra,COMPACT,,4.0,A4,X,9.0,6.8,8.0,35.0,188
LINCOLN,'MKT LIVERY AWD','SPECIAL PURPOSE VEHICLE',3.7,6.0,A6,X,14.0,9.9,12.2,23.0,281
MINI,'JOHN COOPER WORKS',SUBCOMPACT,2.0,4.0,AS6,Z,9.3,7.3,8.4,34.0,197
GMC,,'SUV - STANDARD',5.3,8.0,A6,X,15.7,10.5,13.4,21.0,314
ACURA,'RLX HYBRID',MID-SIZE,3.5,6.0,AM7,Z,8.4,8.2,8.4,34.0,196
BMW,'440i Coupe',COMPACT,3.0,6.0,AS8,Z,11.2,7.3,9.4,30.0,227
BMW,340i,COMPACT,3.0,6.0,AS8,Z,10.9,7.2,9.3,30.0,217
BMW,'435i xDRIVE COUPE',COMPACT,3.0,6.0,AS8,Z,12.0,7.9,10.2,28.0,238
CHRYSLER,300,FULL-SIZE,3.6,6.0,A8,X,12.4,7.8,10.3,27.0,242
BMW,'M240i Cabriolet',SUBCOMPACT,3.0,6.0,AS8,Z,11.2,7.8,9.7,29.0,227
BMW,'435i xDRIVE CABRIOLET',SUBCOMPACT,3.0,6.0,AS8,Z,12.1,8.1,10.3,27.0,237
MAZDA,MX-5,TWO-SEATER,2.0,4.0,AS6,Z,11.5,8.5,10.1,28.0,232
MERCEDES-BENZ,'Maybach S 650',FULL-SIZE,6.0,12.0,A7,Z,18.4,11.1,15.1,19.0,355
VOLKSWAGEN,'Jetta GLI',COMPACT,2.0,4.0,M6,X,9.6,7.1,8.5,33.0,198
FORD,'EXPLORER FFV AWD',,3.5,6.0,AS6,E,19.7,14.3,17.3,16.0,288
LAMBORGHINI,'AVENTADOR COUPE LP 740',TWO-SEATER,6.5,12.0,AM7,Z,23.9,14.5,19.7,14.0,461
FORD,'Mustang (Performance Pkg)',SUBCOMPACT,2.3,4.0,M6,X,11.8,8.7,10.4,27.0,244
PORSCHE,PANAMERA,FULL-SIZE,3.6,6.0,AM7,Z,12.9,8.4,10.9,26.0,255
,'GX 460','SUV - STANDARD',4.6,8.0,AS6,Z,16.0,12.9,14.6,19.0,341
BUICK,'LACROSSE eASSIST',MID-SIZE,2.4,4.0,AS6,X,9.6,6.5,8.2,34.0,189
'ALFA ROMEO',,'SUV - SMALL',2.0,4.0,A8,Z,10.8,8.3,9.6,29.0,226
MAZDA,'Mazda3 5-Door 4WD',MID-SIZE,2.5,4.0,AS6,X,9.8,7.4,8.7,32.0,204
FORD,'F-150 (LT Tire Pkg)','PICKUP TRUCK - STANDARD',2.7,6.0,AS6,X,12.4,9.8,11.2,25.0,263
PORSCHE,'911 CARRERA 4S CABRIOLET',MINICOMPACT,3.8,6.0,M7,Z,12.9,9.2,11.2,25.0,258
MAZDA,'MAZDA3 4-DOOR',COMPACT,2.5,4.0,AS6,X,8.4,6.1,7.4,38.0,173
'ASTON MARTIN','V8 VANTAGE',TWO-SEATER,4.7,8.0,M6,Z,18.1,12.3,15.5,18.0,356
PORSCHE,'911 CARRERA',MINICOMPACT,3.4,6.0,M7,Z,12.5,8.6,10.7,26.0,246
FORD,EXPLORER,'SUV - STANDARD',2.0,4.0,A6,X,11.9,8.5,10.4,27.0,239
JAGUAR,'F-TYPE CONVERTIBLE',TWO-SEATER,3.0,6.0,M6,Z,14.9,9.8,12.6,22.0,296
HONDA,'CIVIC SEDAN',MID-SIZE,2.0,4.0,AV,,7.8,6.0,7.0,40.0,163
FORD,Mustang,SUBCOMPACT,5.0,8.0,M6,X,16.1,9.9,13.3,21.0,312
BMW,'530i xDrive',MID-SIZE,2.0,4.0,AS8,Z,10.2,7.2,8.8,32.0,207
MINI,'John Cooper Works Countryman ALL4',MID-SIZE,2.0,4.0,AS8,Z,10.0,7.8,,31.0,210
CHEVROLET,'SUBURBAN 4WD','SUV - STANDARD',5.3,8.0,A6,X,15.4,10.8,13.3,21.0,312
LEXUS,'IS 350 AWD',COMPACT,3.5,6.0,AS6,Z,12.6,9.1,11.0,26.0,253
PORSCHE,'BOXSTER GTS',TWO-SEATER,3.4,6.0,AM7,Z,10.9,7.7,9.5,30.0,222
BUICK,'LACROSSE eASSIST',MID-SIZE,2.4,,AS6,X,9.6,6.5,8.2,34.0,189
GMC,'SIERRA 4WD FFV','PICKUP TRUCK - STANDARD',5.3,8.0,A6,E,20.5,14.4,17.8,16.0,295
CHRYSLER,'PACIFICA (Stop-Start)',MINIVAN,3.6,6.0,A9,X,12.4,8.4,10.6,27.0,249
GMC,'SIERRA FFV','PICKUP TRUCK - STANDARD',4.3,6.0,A6,X,13.5,10.0,11.9,24.0,280
MITSUBISHI,'RVR 4WD','SUV - SMALL',2.0,4.0,AV6,X,9.8,8.0,9.0,31.0,207
PORSCHE,'911 CARRERA 4S CABRIOLET',MINICOMPACT,3.0,6.0,M7,Z,12.2,8.5,10.5,27.0,246
NISSAN,'Armada 4WD','SUV - STANDARD',5.6,8.0,AS7,X,17.5,12.9,15.4,18.0,362
JEEP,'Grand Cherokee 4X4','SUV - STANDARD',5.7,8.0,A8,X,16.7,10.9,14.1,20.0,331
GMC,Acadia,'SUV - STANDARD',2.5,4.0,A6,X,11.1,9.2,,28.0,237
KIA,RIO,COMPACT,1.6,4.0,M6,X,8.7,6.4,7.7,37.0,177
LEXUS,'LS 500h AWD',MID-SIZE,3.5,6.0,AV10,Z,10.3,7.7,9.1,31.0,214
KIA,Soul,'STATION WAGON - SMALL',2.0,,M6,X,9.6,7.6,8.7,32.0,206
TOYOTA,'RAV4 HYBRID AWD','SUV - SMALL',2.5,4.0,AV6,X,6.9,7.6,7.2,39.0,169
GMC,'YUKON XL 4WD','SUV - STANDARD',5.3,8.0,A6,X,15.4,,13.3,21.0,312
CADILLAC,'XT5 AWD','SUV - SMALL',3.6,6.0,AS8,X,12.8,9.3,11.2,25.0,263
CHEVROLET,'Colorado ZR2 4WD','PICKUP TRUCK - SMALL',2.8,4.0,A6,,13.3,10.6,12.1,23.0,326
SUBARU,'OUTBACK AWD','SUV - SMALL',2.5,4.0,,X,9.4,7.3,8.4,34.0,198
ACURA,'MDX SH-AWD','SUV - SMALL',3.5,6.0,AS9,Z,12.3,9.2,10.9,26.0,254
CHEVROLET,'EXPRESS 1500 PASSENGER AWD','VAN - PASSENGER',5.3,8.0,A4,X,18.3,14.2,16.5,17.0,380
GMC,Canyon,'PICKUP TRUCK - SMALL',3.6,6.0,A8,X,13.4,9.6,11.7,24.0,274
JEEP,'NEW WRANGLER UNLIMITED 4X4','SUV - SMALL',3.6,6.0,A8,X,12.9,10.2,11.7,24.0,275
KIA,SOUL,'STATION WAGON - SMALL',1.6,4.0,AS6,X,9.4,7.8,8.7,32.0,205
HONDA,ACCORD,MID-SIZE,3.5,6.0,AS6,X,11.4,7.3,9.6,29.0,221
NISSAN,MICRA,COMPACT,1.6,4.0,M5,X,8.6,6.6,7.7,37.0,177
MINI,'JOHN COOPER WORKS COUPE',TWO-SEATER,1.6,4.0,AS6,Z,9.2,6.8,8.1,35.0,186
MERCEDES-BENZ,'METRIS PASSENGER','SPECIAL PURPOSE VEHICLE',2.0,4.0,AS7,Z,11.5,10.2,10.9,26.0,248
HYUNDAI,ACCENT,COMPACT,1.6,,AS6,X,8.9,6.3,7.7,37.0,179
ACURA,'RDX AWD','SUV - SMALL',3.5,6.0,AS6,Z,12.4,8.7,10.7,26.0,250
DODGE,'CHARGER FFV',FULL-SIZE,3.6,6.0,A8,X,12.3,7.6,10.2,28.0,235
TOYOTA,HIGHLANDER,'SUV - SMALL',3.5,6.0,AS6,X,12.5,9.3,11.1,25.0,255
FORD,'F-150 (LT Tire Pkg)','PICKUP TRUCK - STANDARD',,6.0,AS6,X,12.4,9.8,,25.0,263
'ASTON MARTIN',VANQUISH,MINICOMPACT,6.0,12.0,A8,Z,17.6,11.4,14.8,19.0,340
MINI,'COOPER 5 DOOR',SUBCOMPACT,1.5,3.0,AS6,Z,8.5,6.3,7.5,38.0,172
CHRYSLER,'200 SEDAN FFV',MID-SIZE,3.6,6.0,A6,X,12.5,8.1,10.5,27.0,242
HONDA,'Pilot AWD','SUV - SMALL',3.5,6.0,AS9,X,12.4,9.3,11.0,26.0,257
MERCEDES-BENZ,'G 63 AMG','SUV - STANDARD',5.5,8.0,AS7,Z,20.0,16.6,18.5,15.0,426
DODGE,'CHALLENGER GT AWD FFV',MID-SIZE,3.6,6.0,A8,X,12.8,8.7,11.0,26.0,258
FORD,MUSTANG,SUBCOMPACT,5.0,8.0,AS6,X,14.9,9.5,12.4,23.0,285
BMW,'530i xDrive',MID-SIZE,2.0,4.0,AS8,Z,10.2,7.2,8.8,32.0,207
HONDA,'CR-V AWD','SUV - SMALL',,4.0,AV,X,8.7,7.4,8.1,35.0,189
TOYOTA,PRIUS,MID-SIZE,1.8,4.0,AV,X,4.3,4.6,4.5,63.0,105
JAGUAR,'F-PACE 25t','SUV - SMALL',2.0,4.0,AS8,Z,10.7,8.8,9.9,29.0,227
BMW,M2,SUBCOMPACT,3.0,6.0,M6,Z,13.1,9.2,11.4,25.0,267
CHRYSLER,'TOWN & COUNTRY FFV',MINIVAN,3.6,6.0,A6,X,14.1,9.5,12.0,24.0,276
BMW,320i,COMPACT,2.0,4.0,AS8,Z,10.0,6.5,8.4,34.0,200
'ALFA ROMEO','4C Coupe',TWO-SEATER,1.8,4.0,AM6,Z,9.7,6.9,8.4,34.0,197
CHEVROLET,SPARK,SUBCOMPACT,1.2,4.0,AV,X,7.7,6.1,7.0,40.0,161
GMC,YUKON,'SUV - STANDARD',5.3,8.0,A6,X,16.0,11.1,13.8,20.0,317
MASERATI,'GHIBLI AWD',MID-SIZE,3.0,6.0,AS8,Z,,9.6,,22.0,292
'ASTON MARTIN','V8 VANTAGE S',TWO-SEATER,4.7,8.0,M6,Z,18.1,12.2,15.4,18.0,354
BMW,'M6 GRAN COUPE',COMPACT,4.4,8.0,M6,Z,16.2,10.9,13.8,20.0,324
MASERATI,'Ghibli S',MID-SIZE,3.0,,,Z,14.1,9.8,12.2,23.0,286
BMW,'X4 M40i','SUV - SMALL',3.0,6.0,AS8,Z,11.3,8.7,10.1,28.0,235
,'GOLF R',,2.0,4.0,M6,Z,11.1,8.1,9.8,,227
TOYOTA,Avalon,MID-SIZE,3.5,6.0,AS8,X,10.9,7.6,9.4,30.0,220
KIA,'OPTIMA HYBRID',MID-SIZE,2.0,4.0,AS6,X,6.0,5.1,5.6,50.0,132
SUBARU,'CROSSTREK AWD','SUV - SMALL',2.0,4.0,AV6,X,9.1,7.2,8.2,34.0,193
CADILLAC,'XT5 AWD','SUV - SMALL',3.6,6.0,AS8,X,12.8,9.3,11.2,25.0,263
MERCEDES-BENZ,'B 250','STATION WAGON - SMALL',2.0,4.0,AS7,Z,,6.6,8.0,35.0,184
PORSCHE,Macan,'SUV - SMALL',2.0,4.0,AM7,Z,12.2,10.2,11.3,25.0,264
AUDI,'A4 ULTRA',COMPACT,2.0,4.0,AM7,Z,8.6,6.4,7.6,37.0,177
FORD,'Expedition 4X4','SUV - STANDARD',3.5,6.0,AS10,X,14.1,10.6,12.5,23.0,293
MAZDA,'MAZDA3 4-DOOR (i-ELOOP)',COMPACT,2.5,4.0,AS6,X,8.5,6.4,7.6,37.0,176
RAM,'1500 FFV','PICKUP TRUCK - STANDARD',3.6,6.0,A8,X,13.9,9.5,11.9,24.0,274
MERCEDES-BENZ,'AMG S 65 Coupe',COMPACT,6.0,12.0,A9,Z,17.6,11.0,14.6,19.0,343
SUBARU,'OUTBACK AWD','SUV - SMALL',2.5,4.0,AV6,X,9.4,7.3,8.4,34.0,198
HONDA,,COMPACT,1.8,4.0,AV7,X,8.1,6.2,7.2,39.0,166
GMC,'Sierra 4WD','PICKUP TRUCK - STANDARD',4.3,6.0,A6,X,15.8,11.9,14.0,,329
BMW,'X1 xDRIVE28i','SUV - SMALL',2.0,4.0,AS8,Z,10.7,7.4,9.2,31.0,215
KIA,Sportage,,2.4,4.0,AS6,X,10.3,7.8,9.2,31.0,218
VOLVO,'XC90 T5 AWD','SUV - STANDARD',2.0,4.0,AS8,Z,11.3,8.5,10.0,28.0,233
HONDA,'ACCORD HYBRID',MID-SIZE,2.0,4.0,AV,X,4.7,5.3,5.0,56.0,115
NISSAN,MURANO,'STATION WAGON - MID-SIZE',3.5,6.0,AV7,X,11.0,8.3,9.8,29.0,230
NISSAN,MAXIMA,MID-SIZE,3.5,6.0,AV,Z,,9.1,10.9,26.0,251
MITSUBISHI,RVR,'SUV - SMALL',2.0,4.0,M5,X,10.3,8.0,9.3,30.0,214
INFINITI,'Q50S AWD',MID-SIZE,3.0,6.0,AS7,Z,12.9,9.0,11.1,25.0,262
TOYOTA,'TACOMA 4WD','PICKUP TRUCK - SMALL',3.5,6.0,AS6,X,13.1,10.5,11.9,24.0,280
BMW,'M235i xDRIVE CABRIOLET',SUBCOMPACT,3.0,6.0,AS8,Z,12.0,7.9,10.2,28.0,238
FORD,'FLEX AWD','SUV - STANDARD',3.5,6.0,AS6,X,13.7,10.1,12.1,23.0,278
LEXUS,'RX 350 AWD','SUV - SMALL',3.5,6.0,AS8,X,12.2,9.0,10.8,26.0,252
AUDI,'A4 ALLROAD QUATTRO','STATION WAGON - SMALL',2.0,4.0,AS8,Z,11.2,8.4,9.9,28.0,228
KIA,'FORTE KOUP',COMPACT,2.0,4.0,A6,X,9.6,7.0,8.4,34.0,193
AUDI,'A3 CABRIOLET QUATTRO',SUBCOMPACT,2.0,4.0,AM6,Z,10.1,7.5,8.9,32.0,205
JAGUAR,'E-PACE P250','SUV - SMALL',2.0,4.0,AS9,Z,11.0,8.4,9.8,,231
CHEVROLET,EQUINOX,'SUV - SMALL',3.6,6.0,A6,X,14.1,9.7,12.1,23.0,285
AUDI,'ALLROAD QUATTRO','STATION WAGON - SMALL',2.0,4.0,AS8,Z,11.8,8.8,10.5,27.0,242
PORSCHE,'CAYENNE PLATINUM','SUV - STANDARD',3.6,6.0,A8,Z,,10.2,12.1,23.0,281
GMC,'TERRAIN AWD','SUV - SMALL',3.6,6.0,A6,X,14.9,10.1,12.8,22.0,300
PORSCHE,CAYMAN,TWO-SEATER,2.0,4.0,M6,Z,11.0,8.3,9.8,29.0,229
AUDI,S5,SUBCOMPACT,3.0,6.0,AS8,Z,11.8,8.9,10.5,27.0,245
DODGE,Challenger,MID-SIZE,5.7,8.0,M6,Z,15.6,10.1,13.1,22.0,307
MINI,'COOPER S CLUBMAN',MID-SIZE,2.0,4.0,AS8,,10.0,7.2,8.7,32.0,205
FORD,'ESCAPE AWD','SUV - SMALL',2.0,4.0,AS6,X,11.4,8.4,10.0,28.0,236
FORD,'EXPLORER FFV',,3.5,6.0,AS6,,13.7,9.7,11.9,24.0,274
HONDA,HR-V,'SUV - SMALL',1.8,4.0,AV7,X,8.3,6.7,7.6,37.0,177
HYUNDAI,'GENESIS AWD',FULL-SIZE,5.0,8.0,AS8,Z,17.3,10.5,14.2,20.0,327
FORD,FLEX,'SUV - STANDARD',3.5,6.0,AS6,,14.7,10.2,12.7,22.0,298
JAGUAR,'F-TYPE CONVERTIBLE',TWO-SEATER,3.0,6.0,M6,Z,14.9,9.8,12.6,22.0,296
PORSCHE,'911 TARGA 4',MINICOMPACT,3.4,6.0,M7,Z,12.9,9.0,11.1,25.0,255
JAGUAR,'F-TYPE COUPE',TWO-SEATER,3.0,6.0,AS8,Z,11.8,8.4,10.3,27.0,237
CHEVROLET,'EXPRESS 1500 CARGO CONV AWD','VAN - CARGO',5.3,8.0,A4,X,18.3,14.2,16.5,17.0,380
GMC,'Sierra WT 4WD','PICKUP TRUCK - STANDARD',2.7,4.0,A8,X,12.7,11.0,12.0,24.0,280
MAZDA,,MID-SIZE,2.5,4.0,AS6,X,9.1,6.7,8.0,35.0,187
HYUNDAI,Elantra,MID-SIZE,1.6,4.0,,X,8.9,7.0,,35.0,192
FORD,'EXPLORER FFV AWD','SUV - STANDARD',3.5,6.0,AS6,E,19.7,14.3,17.3,16.0,288
FORD,'F-150 (LT Tire Pkg)','PICKUP TRUCK - STANDARD',3.5,6.0,AS10,X,13.0,10.2,11.7,24.0,274
MERCEDES-BENZ,'AMG SL 63',TWO-SEATER,5.5,8.0,AS7,Z,14.7,9.5,12.4,23.0,298
MASERATI,'Ghibli S',MID-SIZE,3.0,6.0,AS8,Z,14.7,9.9,12.6,22.0,295
AUDI,'A3 CABRIOLET QUATTRO',SUBCOMPACT,2.0,4.0,AM6,Z,10.1,7.5,8.9,32.0,205
AUDI,'TTS Coupe',SUBCOMPACT,2.0,4.0,AM7,Z,10.4,8.2,9.4,30.0,220
CHEVROLET,'SUBURBAN 4WD FFV','SUV - STANDARD',5.3,8.0,A6,X,15.3,10.9,13.3,21.0,312
MERCEDES-BENZ,'E 400 4MATIC WAGON','STATION WAGON - MID-SIZE',3.0,6.0,AS7,Z,12.4,8.9,10.8,26.0,253
MASERATI,'GHIBLI AWD',MID-SIZE,3.0,6.0,AS8,Z,15.2,9.6,12.7,22.0,292
MITSUBISHI,'Mirage G4',COMPACT,1.2,3.0,M5,X,7.2,5.9,6.6,43.0,153
GMC,'SIERRA FFV','PICKUP TRUCK - STANDARD',4.3,6.0,A6,X,13.5,10.0,11.9,24.0,280
KIA,'FORTE KOUP',COMPACT,2.0,4.0,A6,X,9.6,7.0,8.4,34.0,193
'ASTON MARTIN','VANTAGE GT',TWO-SEATER,4.7,8.0,AM7,Z,17.4,11.3,14.7,19.0,343
LINCOLN,'Nautilus AWD','SUV - SMALL',2.0,4.0,AS8,X,12.0,9.6,10.7,26.0,250
PORSCHE,'Macan S','SUV - SMALL',3.0,6.0,AM7,Z,12.9,10.2,11.7,24.0,272
GMC,'Yukon XL FFV','SUV - STANDARD',5.3,8.0,A6,E,21.2,13.9,17.9,16.0,298
AUDI,R8,TWO-SEATER,5.2,10.0,A7,Z,18.2,10.6,,19.0,347
AUDI,'A5 CABRIOLET QUATTRO',SUBCOMPACT,2.0,4.0,AS8,Z,11.5,8.1,10.0,28.0,230
CHEVROLET,'CRUZE LIMITED',MID-SIZE,1.8,4.0,M6,X,9.4,6.6,8.1,35.0,190
MITSUBISHI,'RVR 4WD','SUV - SMALL',2.4,4.0,AV6,X,10.3,8.3,9.4,30.0,219
HYUNDAI,'Tucson AWD','SUV - SMALL',2.0,4.0,,X,10.8,9.2,10.1,28.0,239
CADILLAC,ATS-V,COMPACT,3.6,6.0,M6,Z,14.2,10.2,12.4,23.0,289
PORSCHE,'911 CARRERA',MINICOMPACT,3.4,6.0,M7,Z,12.5,8.6,10.7,26.0,246
,'COMPASS 4X4','SUV - SMALL',2.4,4.0,A6,X,11.4,8.7,10.2,28.0,235
TOYOTA,'TUNDRA 4WD','PICKUP TRUCK - STANDARD',5.7,8.0,AS6,X,18.2,14.1,16.3,17.0,380
CHEVROLET,EQUINOX,'SUV - SMALL',3.6,6.0,A6,E,18.8,13.1,16.2,17.0,259
LEXUS,'RC F',SUBCOMPACT,5.0,8.0,AS8,Z,15.2,9.5,12.6,22.0,290
BMW,'X1 xDRIVE28i','SUV - SMALL',2.0,4.0,AS8,Z,10.7,7.4,9.2,31.0,215
AUDI,'A3 CABRIOLET QUATTRO',SUBCOMPACT,2.0,4.0,AM6,X,10.8,8.0,9.5,30.0,223
LEXUS,'NX 200t AWD','SUV - SMALL',2.0,4.0,AS6,Z,10.6,8.4,9.6,29.0,225
AUDI,'A4 ALLROAD QUATTRO','STATION WAGON - SMALL',,4.0,AS8,Z,11.2,8.4,9.9,28.0,228
GMC,'SIERRA 4WD','PICKUP TRUCK - STANDARD',4.3,6.0,A6,E,20.0,15.1,17.8,16.0,285
'LAND ROVER',LR4,'SUV - STANDARD',3.0,6.0,AS8,Z,16.2,12.1,14.3,20.0,336
FORD,'F-150 4X4 (LT Tire Pkg)','PICKUP TRUCK - STANDARD',3.0,6.0,AS10,D,11.8,9.3,10.7,26.0,287
GENESIS,'G90 AWD',FULL-SIZE,3.3,6.0,AS8,Z,13.6,9.5,11.8,24.0,280
INFINITI,'Q50 AWD',MID-SIZE,2.0,4.0,AS7,Z,10.7,8.4,,29.0,226
BUICK,'Envision AWD','SUV - SMALL',2.0,4.0,A9,Z,11.7,9.4,10.7,26.0,250
FORD,'F-150 FFV','PICKUP TRUCK - STANDARD',3.5,6.0,A6,X,13.2,9.7,11.6,24.0,272
JAGUAR,'XE 25t AWD',COMPACT,2.0,4.0,AS8,Z,9.8,6.9,8.5,33.0,200
MAZDA,'CX-9 4WD','SUV - SMALL',2.5,4.0,AS6,X,11.6,9.1,10.5,27.0,244
RAM,'1500 Classic FFV','PICKUP TRUCK - STANDARD',3.6,6.0,A8,X,13.9,9.6,,24.0,280
DODGE,'JOURNEY FFV','SUV - SMALL',3.6,6.0,A6,X,14.2,9.5,12.1,23.0,284
NISSAN,JUKE,'STATION WAGON - SMALL',1.6,4.0,M6,X,8.4,6.9,7.7,37.0,177
INFINITI,Q60,SUBCOMPACT,3.7,6.0,M6,Z,13.6,9.3,11.6,24.0,267
DODGE,'CHALLENGER SRT',MID-SIZE,6.4,8.0,M6,Z,16.7,10.4,13.9,20.0,325
MASERATI,'QUATTROPORTE GTS',FULL-SIZE,3.8,8.0,AS8,Z,17.6,10.7,14.5,19.0,334
GMC,'Yukon 4WD','SUV - STANDARD',6.2,8.0,A10,Z,16.5,10.9,13.9,20.0,327
GMC,'YUKON DENALI 4WD','SUV - STANDARD',6.2,8.0,A6,Z,16.2,11.4,14.0,20.0,322
MAZDA,MAZDA6,MID-SIZE,2.5,4.0,AS6,X,9.1,6.7,8.0,35.0,187
SCION,FR-S,MINICOMPACT,2.0,4.0,M6,Z,10.9,7.9,9.6,29.0,221
FORD,'EXPLORER FFV','SUV - STANDARD',3.5,6.0,,X,13.7,9.7,11.9,24.0,274
BMW,'X1 xDRIVE35i','SUV - SMALL',3.0,6.0,A6,Z,13.2,8.9,11.3,25.0,260
MINI,'JOHN COOPER WORKS COUNTRYMAN ALL4',COMPACT,1.6,4.0,AS6,Z,10.1,7.8,9.0,31.0,207
MASERATI,'QUATTROPORTE GTS',FULL-SIZE,3.8,8.0,AS8,Z,17.6,10.7,14.5,19.0,334
PORSCHE,'Macan S','SUV - SMALL',3.0,6.0,AM7,Z,12.9,10.2,11.7,24.0,272
HONDA,,MID-SIZE,1.5,4.0,AV,X,7.4,5.6,6.6,43.0,153
LEXUS,'GX 460','SUV - STANDARD',4.6,8.0,AS6,Z,16.0,12.9,14.6,19.0,341
BMW,M2,SUBCOMPACT,3.0,6.0,M6,,13.1,9.2,11.4,25.0,267
MERCEDES-BENZ,'B 250','STATION WAGON - SMALL',,4.0,AS7,Z,9.2,6.6,8.0,35.0,184
TOYOTA,86,MINICOMPACT,2.0,4.0,AS6,Z,,7.3,8.7,32.0,204
PORSCHE,BOXSTER,TWO-SEATER,2.0,4.0,AM7,Z,10.5,8.0,9.4,30.0,219
FORD,'F-150 FFV 4X4','PICKUP TRUCK - STANDARD',5.0,8.0,A6,E,22.4,17.0,20.0,14.0,320
MINI,'JOHN COOPER WORKS',SUBCOMPACT,2.0,4.0,AS6,Z,9.4,7.5,8.5,33.0,199
GMC,ACADIA,'SUV - STANDARD',3.6,6.0,A6,X,14.3,9.9,12.3,23.0,283
FORD,'EDGE AWD','SUV - SMALL',2.0,4.0,AS6,X,11.8,8.4,10.3,27.0,240
FORD,'TRANSIT CONNECT WAGON TAXI','SPECIAL PURPOSE VEHICLE',2.5,4.0,AS6,X,12.0,8.5,10.4,27.0,239
MERCEDES-BENZ,'AMG GT S COUPE',TWO-SEATER,4.0,8.0,AM7,Z,14.5,10.8,12.8,22.0,302
ROLLS-ROYCE,'PHANTOM DROPHEAD COUPE',COMPACT,6.7,12.0,A8,Z,20.7,12.7,17.1,17.0,393
VOLKSWAGEN,'GOLF R',,2.0,4.0,M6,Z,11.1,8.1,9.8,29.0,227
TOYOTA,TUNDRA,'PICKUP TRUCK - STANDARD',4.6,8.0,AS6,X,15.8,12.3,14.2,20.0,334
LEXUS,'LS 600h L',MID-SIZE,5.0,8.0,AV8,Z,12.7,10.1,11.5,25.0,268
LEXUS,'RX 350 AWD','SUV - SMALL',3.5,6.0,AS8,X,12.2,8.9,10.7,26.0,251
BUICK,'LACROSSE AWD',MID-SIZE,3.6,6.0,AS8,X,11.6,8.1,10.0,28.0,235
JAGUAR,'XJL SUPERCHARGED',FULL-SIZE,5.0,8.0,AS8,E,20.6,13.6,17.5,16.0,280
MERCEDES-BENZ,'AMG CLA 45 4MATIC',COMPACT,2.0,4.0,AM7,Z,10.3,7.9,9.2,31.0,217
AUDI,'Q3 QUATTRO',COMPACT,2.0,4.0,AS6,Z,11.9,8.4,10.3,27.0,237
CHEVROLET,'EXPRESS 3500 PASSENGER','VAN - PASSENGER',6.0,8.0,A6,E,30.2,20.5,25.8,11.0,413
'LAND ROVER','Range Rover Sport TD6 Diesel','SUV - STANDARD',3.0,6.0,AS8,D,10.7,8.3,9.6,29.0,256
BUICK,'REGAL eASSIST',MID-SIZE,2.4,4.0,AS6,X,9.6,6.5,8.2,34.0,193
VOLKSWAGEN,'GOLF R',COMPACT,2.0,4.0,M6,Z,11.1,8.1,9.8,29.0,227
MAZDA,MX-5,TWO-SEATER,2.0,4.0,,Z,11.5,8.5,10.1,28.0,232
GMC,Canyon,'PICKUP TRUCK - SMALL',3.6,6.0,A8,X,13.4,,11.7,24.0,273
CHEVROLET,'MALIBU LIMITED',MID-SIZE,2.5,4.0,AS6,X,10.0,7.0,8.6,33.0,202
KIA,'SEDONA SX',MINIVAN,3.3,6.0,AS6,X,12.9,9.5,11.4,25.0,269
BUICK,'LACROSSE eASSIST',MID-SIZE,2.4,4.0,AS6,X,9.6,6.5,8.2,34.0,189
CHEVROLET,EQUINOX,'SUV - SMALL',3.6,6.0,A6,E,18.8,13.1,,17.0,259
MAZDA,MAZDA6,MID-SIZE,2.5,4.0,AS6,X,9.1,6.7,8.0,35.0,187
CHEVROLET,Blazer,'SUV - SMALL',3.6,6.0,A9,X,12.0,9.0,10.6,27.0,250
JAGUAR,'F-TYPE S COUPE',TWO-SEATER,3.0,6.0,AS8,Z,12.4,8.8,10.8,26.0,253
MERCEDES-BENZ,'G 63 AMG','SUV - STANDARD',5.5,8.0,AS7,Z,20.0,16.6,18.5,15.0,426
GMC,'Yukon XL','SUV - STANDARD',5.3,8.0,A6,X,15.7,10.5,13.4,21.0,314
CHEVROLET,SONIC,COMPACT,1.4,4.0,M6,X,8.5,6.2,7.5,38.0,173
VOLKSWAGEN,'JETTA HYBRID',COMPACT,1.4,4.0,AM7,Z,5.6,4.9,5.3,53.0,122
DODGE,'JOURNEY FFV','SUV - SMALL',3.6,6.0,A6,E,19.1,13.2,16.4,17.0,274
VOLKSWAGEN,'GOLF ALLTRACK','STATION WAGON - SMALL',1.8,4.0,M6,X,11.1,7.8,9.6,29.0,225
JEEP,Cherokee,'SUV - SMALL',2.4,4.0,A9,X,10.8,7.6,,30.0,219
VOLVO,'XC60 T5 AWD','SUV - SMALL',2.5,5.0,AS6,X,12.5,9.2,11.0,26.0,254
